mode,rank,k_inf,sigma_seed,ns_per_particle,ns_per_particle_sigma,source
openmc,-,1.32770,0.00150,-,-,"OpenMC 0.15.3, 5 seeds, 50 batches, 10k particles"
cpu_table,0,1.32526,0.00232,54430.36,11003.95,open_rust_mc pwr_pincell --mode table
cpu_svd,2,1.40807,0.00144,52711.44,5974.02,open_rust_mc pwr_pincell --mode svd --rank 2
cpu_svd,3,1.32118,0.00281,28672.50,1079.75,open_rust_mc pwr_pincell --mode svd --rank 3
cpu_svd,4,1.32513,0.00145,31874.58,4004.68,open_rust_mc pwr_pincell --mode svd --rank 4
cpu_svd,5,1.32479,0.00190,28650.79,1314.70,open_rust_mc pwr_pincell --mode svd --rank 5
cpu_svd,6,1.32512,0.00114,30072.78,1335.32,open_rust_mc pwr_pincell --mode svd --rank 6
gpu_pointwise,5,1.32670,0.00117,38103.75,270.53,gpu_pwr_bench (pointwise default)
gpu_svd,2,1.40973,0.00219,48289.06,238.83,gpu_pwr_bench --force-svd --rank 2
gpu_svd,3,1.32260,0.00207,48438.72,276.69,gpu_pwr_bench --force-svd --rank 3
gpu_svd,4,1.32496,0.00318,48616.93,239.64,gpu_pwr_bench --force-svd --rank 4
gpu_svd,5,1.32804,0.00169,50738.40,365.01,gpu_pwr_bench --force-svd --rank 5
gpu_svd,6,1.32673,0.00201,53865.36,372.70,gpu_pwr_bench --force-svd --rank 6
