scenario,provider,rank,k_eff,ns_per_p,mem_kb
on-library 294 K,SVD,1,1.00054,902.88,113175.7
on-library 294 K,Table,1,1.00284,1211.04,110775.1
on-library 294 K,ACE+WMP,1,1.00198,1264.80,107201.3
on-library 294 K,SVD,2,1.00243,1015.35,125796.0
on-library 294 K,Table,2,1.00284,5429.93,110775.1
on-library 294 K,ACE+WMP,2,1.00198,3770.29,107201.3
on-library 294 K,SVD,3,1.00177,3468.89,138416.2
on-library 294 K,Table,3,1.00284,3852.28,110775.1
on-library 294 K,ACE+WMP,3,1.00198,3742.26,107201.3
on-library 294 K,SVD,5,1.00284,3676.88,163656.8
on-library 294 K,Table,5,1.00284,3853.72,110775.1
on-library 294 K,ACE+WMP,5,1.00198,3741.13,107201.3
on-library 294 K,SVD,7,1.00058,3863.53,176277.0
on-library 294 K,Table,7,1.00284,3865.90,110775.1
on-library 294 K,ACE+WMP,7,1.00198,3684.05,107201.3
stochastic 450 K,SVD,1,0.99778,3034.58,113175.7
stochastic 450 K,Table,1,1.00429,4277.91,221550.2
stochastic 450 K,ACE+WMP,1,1.00308,4007.49,213220.9
stochastic 450 K,SVD,2,1.00390,3481.70,125796.0
stochastic 450 K,Table,2,1.00278,4202.31,221550.2
stochastic 450 K,ACE+WMP,2,1.00308,3928.14,213220.9
stochastic 450 K,SVD,3,1.00238,3524.33,138416.2
stochastic 450 K,Table,3,1.00217,4084.30,221550.2
stochastic 450 K,ACE+WMP,3,1.00308,3987.78,213220.9
stochastic 450 K,SVD,5,1.00126,3666.54,163656.8
stochastic 450 K,Table,5,1.00223,4094.79,221550.2
stochastic 450 K,ACE+WMP,5,1.00308,4096.16,213220.9
stochastic 450 K,SVD,7,1.00017,3892.06,176277.0
stochastic 450 K,Table,7,1.00361,1926.08,221550.2
stochastic 450 K,ACE+WMP,7,1.00308,1184.48,213220.9
